Well,Order,AIC,RMSE,2025,2026,2027,2028,2029
W1,"SARIMA(24,1,0)(0,1,1,12)",923.4,1.6521,74.88,80.17,80.79,80.62,82.45
W2,"SARIMA(6,1,0)(0,1,1,12)",876.9,1.2622,50.94,49.07,47.18,45.3,43.42
W3,"SARIMA(24,1,0)(0,1,1,12)",1173.2,5.0342,148.71,154.56,158.87,162.07,165.34
W4,"SARIMA(3,1,0)(0,1,1,12)",266.3,0.1346,87.79,88.45,89.12,89.78,90.45
W5,"SARIMA(24,1,0)(0,1,1,12)",768.7,2.2717,62.17,68.43,70.26,72.03,74.8
W6,"SARIMA(24,1,0)(0,1,1,12)",994.5,2.1669,101.71,104.26,106.96,109.66,112.38
W7,"SARIMA(24,1,0)(0,1,1,12)",1086.7,2.8708,97.34,102.36,107.3,112.08,117.07
W8,"SARIMA(24,1,0)(0,1,1,12)",818.1,1.8344,80.88,87.87,92.43,96.2,100.72
W9,"SARIMA(24,1,0)(0,1,1,12)",1158.8,4.249,132.37,137.69,142.87,147.85,153.09
W10,"SARIMA(24,1,0)(0,1,1,12)",804.1,1.2307,34.04,35.6,36.24,36.9,37.84
W11,"SARIMA(24,1,0)(0,1,1,12)",933.7,2.9371,89.2,94.49,99.72,104.98,110.24
W12,"SARIMA(24,1,0)(0,1,1,12)",719.9,1.6926,91.92,99.69,107.25,114.85,122.42
W13,"SARIMA(24,1,0)(0,1,1,12)",1023.7,2.9362,132.77,144.09,152.57,161.13,168.54
W14,"SARIMA(24,1,0)(0,1,1,12)",1105.7,4.2424,82.14,79.09,78.44,75.66,73.25
W15,"SARIMA(18,1,0)(0,1,1,12)",800.5,0.7757,63.74,65.72,67.64,69.54,71.45
W16,"SARIMA(24,1,0)(0,1,1,12)",1068.9,2.5622,110.12,114.02,118.16,122.32,126.47
W17,"SARIMA(24,1,0)(0,1,1,12)",1112.3,4.8371,120.08,125.45,130.17,134.58,139.09
W18,"SARIMA(3,1,0)(0,1,1,12)",410.0,0.1706,40.21,40.76,41.31,41.86,42.41
W19,"SARIMA(3,1,0)(0,1,1,12)",822.3,1.4296,96.44,100.29,104.14,107.98,111.82
W20,"SARIMA(24,1,0)(0,1,1,12)",1017.4,3.5237,135.61,140.11,145.32,150.95,156.4
